$DATE	APC-A	CB Number	DAPI-A	DAY	EXP	EXPERIMENT NAME	FITC-A	FSC-A	FSC-H	FSC-W	ISOTYPE	PARENT FOLDER	PATH	PE-A	PRE-EXPANSION DAY	REPLICATE	SRC	SSC-A	TREATMENT	TUBE NAME	TUBE TYPE
14-Nov-15	530	CB486	325		1	Mahmud Expt #1_ 11-14-15 Day 3 Surface stain	420	180	0	0	0	Mahmud Expt #1_ 11-14-15 E7 Day 3 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_1/Mahmud Expt #1_ 11-14-15 E7 Day 3 Surface stain/342470.fcs	440		1	beads	200		APC	BEADS
14-Nov-15	530	CB486	325		1	Mahmud Expt #1_ 11-14-15 Day 3 Surface stain	420	180	0	0	0	Mahmud Expt #1_ 11-14-15 E7 Day 3 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_1/Mahmud Expt #1_ 11-14-15 E7 Day 3 Surface stain/342471.fcs	440		1	beads	200		PE	BEADS
14-Nov-15	530	CB486	325		1	Mahmud Expt #1_ 11-14-15 Day 3 Surface stain	420	180	0	0	0	Mahmud Expt #1_ 11-14-15 E7 Day 3 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_1/Mahmud Expt #1_ 11-14-15 E7 Day 3 Surface stain/342472.fcs	440		1	beads	200		FITC	BEADS
21-Jan-16	530	CB490	325		2	Mahmud Expt #2_ 1-21-16 Day 0 Surface stain_001	420	180	0	0	0	Mahmud Expt #2_ 1-21-16 E5 Day 0 Surface stain_001	/Users/jia/Dropbox/Miller/cb_exp_2/Mahmud Expt #2_ 1-21-16 E5 Day 0 Surface stain_001/369459.fcs	440		1	beads	200		APC	BEADS
21-Jan-16	530	CB490	325		2	Mahmud Expt #2_ 1-21-16 Day 0 Surface stain_001	420	180	0	0	0	Mahmud Expt #2_ 1-21-16 E5 Day 0 Surface stain_001	/Users/jia/Dropbox/Miller/cb_exp_2/Mahmud Expt #2_ 1-21-16 E5 Day 0 Surface stain_001/369461.fcs	440		1	beads	200		FITC	BEADS
21-Jan-16	530	CB490	325		2	Mahmud Expt #2_ 1-21-16 Day 0 Surface stain_001	420	180	0	0	0	Mahmud Expt #2_ 1-21-16 E5 Day 0 Surface stain_001	/Users/jia/Dropbox/Miller/cb_exp_2/Mahmud Expt #2_ 1-21-16 E5 Day 0 Surface stain_001/369460.fcs	440		1	beads	200		PE	BEADS
24-Feb-16	540	CB495	325		3	Mahmud Expt #3_VPA expanded D5_ 2-24-16 Day 0 Surface stain	420	180	0	0	0	Mahmud Expt #3_VPA expanded D5_ 2-24-16 E5 Day 0 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_3/Mahmud Expt #3_VPA expanded D5_ 2-24-16 E5 Day 0 Surface stain/385109.fcs	445		1	beads	200		APC	BEADS
24-Feb-16	540	CB495	325		3	Mahmud Expt #3_VPA expanded D5_ 2-24-16 Day 0 Surface stain	420	180	0	0	0	Mahmud Expt #3_VPA expanded D5_ 2-24-16 E5 Day 0 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_3/Mahmud Expt #3_VPA expanded D5_ 2-24-16 E5 Day 0 Surface stain/385110.fcs	445		1	beads	200		PE	BEADS
24-Feb-16	540	CB495	325		3	Mahmud Expt #3_VPA expanded D5_ 2-24-16 Day 0 Surface stain	420	180	0	0	0	Mahmud Expt #3_VPA expanded D5_ 2-24-16 E5 Day 0 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_3/Mahmud Expt #3_VPA expanded D5_ 2-24-16 E5 Day 0 Surface stain/385111.fcs	445		1	beads	200		FITC	BEADS
7-Apr-16	540	CB498	325		4	Mahmud Expt #4_VPA expanded D5_ 4-7-16 Day 0 Surface stain	420	180	0	0	0	Mahmud Expt #4_VPA expanded D5_ 4-7-16 E5 Day 0 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_4/Mahmud Expt #4_VPA expanded D5_ 4-7-16 E5 Day 0 Surface stain/412300.fcs	480		1	beads	200		APC	BEADS
7-Apr-16	540	CB498	325		4	Mahmud Expt #4_VPA expanded D5_ 4-7-16 Day 0 Surface stain	420	180	0	0	0	Mahmud Expt #4_VPA expanded D5_ 4-7-16 E5 Day 0 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_4/Mahmud Expt #4_VPA expanded D5_ 4-7-16 E5 Day 0 Surface stain/412301.fcs	480		1	beads	200		PE	BEADS
7-Apr-16	540	CB498	325		4	Mahmud Expt #4_VPA expanded D5_ 4-7-16 Day 0 Surface stain	420	180	0	0	0	Mahmud Expt #4_VPA expanded D5_ 4-7-16 E5 Day 0 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_4/Mahmud Expt #4_VPA expanded D5_ 4-7-16 E5 Day 0 Surface stain/412302.fcs	480		1	beads	200		FITC	BEADS
17-May-16	540	CB500	325		5	Mahmud Expt #5_VPA exp  D5_5-17-16 Day 0 Surface stain	420	180	0	0	0	Mahmud Expt #5_VPA exp  D5_5-17-16 E5 Day 0 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_5/Mahmud Expt #5_VPA exp  D5_5-17-16 E5 Day 0 Surface stain/430503.fcs	425		1	beads	200		APC	BEADS
17-May-16	540	CB500	325		5	Mahmud Expt #5_VPA exp  D5_5-17-16 Day 0 Surface stain	420	180	0	0	0	Mahmud Expt #5_VPA exp  D5_5-17-16 E5 Day 0 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_5/Mahmud Expt #5_VPA exp  D5_5-17-16 E5 Day 0 Surface stain/430504.fcs	425		1	beads	200		PE	BEADS
17-May-16	540	CB500	325		5	Mahmud Expt #5_VPA exp  D5_5-17-16 Day 0 Surface stain	420	180	0	0	0	Mahmud Expt #5_VPA exp  D5_5-17-16 E5 Day 0 Surface stain	/Users/jia/Dropbox/Miller/cb_exp_5/Mahmud Expt #5_VPA exp  D5_5-17-16 E5 Day 0 Surface stain/430505.fcs	425		1	beads	200		FITC	BEADS
1-Aug-16	357	CB496	315		7	Miller CB Expt 7 E5 Day 5	420	180	0	0	0	Miller CB Expt 7 E5 Day 5 E7 Day 3	/Users/jia/Dropbox/Miller/cb_exp_7/Miller CB Expt 7 E5 Day 5 E7 Day 3/478215.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		APC	BEADS
1-Aug-16	357	CB496	315		7	Miller CB Expt 7 E5 Day 5	420	180	0	0	0	Miller CB Expt 7 E5 Day 5 E7 Day 3	/Users/jia/Dropbox/Miller/cb_exp_7/Miller CB Expt 7 E5 Day 5 E7 Day 3/478216.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		FITC	BEADS
1-Aug-16	357	CB496	315		7	Miller CB Expt 7 E5 Day 5	420	180	0	0	0	Miller CB Expt 7 E5 Day 5 E7 Day 3	/Users/jia/Dropbox/Miller/cb_exp_7/Miller CB Expt 7 E5 Day 5 E7 Day 3/478217.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		PE	BEADS
16-Jan-17	357	CB536	325		13	Miller CB Expt 13 E5 Day 5 e7 day 3 2	420	180	0	0	0	Miller CB Expt 13 E5 Day 5 E7 Day 3 - Part 2	/Users/jia/Dropbox/Miller/cb_exp_13/Miller CB Expt 13 E5 Day 5 E7 Day 3 - Part 2/60031.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		APC	BEADS
16-Jan-17	357	CB536	325		13	Miller CB Expt 13 E5 Day 5 e7 day 3 2	420	180	0	0	0	Miller CB Expt 13 E5 Day 5 E7 Day 3 - Part 2	/Users/jia/Dropbox/Miller/cb_exp_13/Miller CB Expt 13 E5 Day 5 E7 Day 3 - Part 2/60032.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		FITC	BEADS
16-Jan-17	357	CB536	325		13	Miller CB Expt 13 E5 Day 5 e7 day 3 2	420	180	0	0	0	Miller CB Expt 13 E5 Day 5 E7 Day 3 - Part 2	/Users/jia/Dropbox/Miller/cb_exp_13/Miller CB Expt 13 E5 Day 5 E7 Day 3 - Part 2/60033.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		PE	BEADS
30-Jan-17	357		325		14	Miller CB Expt 14 E7 Day 9_001	420	180	0	0	0	Miller CB Expt 14 E7 Day 10	/Users/jia/Dropbox/Miller/cb_exp_14/Miller CB Expt 14 E7 Day 10/60673.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		APC	BEADS
30-Jan-17	357		325		14	Miller CB Expt 14 E7 Day 9_001	420	180	0	0	0	Miller CB Expt 14 E7 Day 10	/Users/jia/Dropbox/Miller/cb_exp_14/Miller CB Expt 14 E7 Day 10/60674.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		FITC	BEADS
30-Jan-17	357		325		14	Miller CB Expt 14 E7 Day 9_001	420	180	0	0	0	Miller CB Expt 14 E7 Day 10	/Users/jia/Dropbox/Miller/cb_exp_14/Miller CB Expt 14 E7 Day 10/60675.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		PE	BEADS
21-Feb-17	357	CB542	325		15	Miller CB Expt 15 E5 Day 0	420	180	0	0	0	Miller CB Expt 15 E5 Day 0	/Users/jia/Dropbox/Miller/cb_exp_15/Miller CB Expt 15 E5 Day 0/61729.fcs	385		1	Primary cells_CD34PE_ CD41 FITC_42APC_001	200		APC	BEADS
